"Title","Announcement Type","Service Category","Product Capability","Detail","Link","Date","Release Type"
"Prefetch Workday termination data to customize account disable logic","Fixed","Provisioning","Inbound to Microsoft Entra ID","Type:FixedService category:ProvisioningProduct capability:Inbound to Microsoft Entra ID This Workday connector update resolves termination processing delays observed for workers in APAC and ANZ regions. Admins can now enable termination lookahead setting to prefetch data and tailor deprovisioning logic for accounts in Microsoft Entra ID and on-premises Active Directory. For more information, see:Configure Workday termination lookahead (Preview).",,"October 2025","Public Preview"
"Ability to convert Source of Authority of synced on-premises AD groups to cloud groups is now available","New feature","Group Management","Microsoft Entra Cloud Sync","Type:New featureService category:Group ManagementProduct capability:Microsoft Entra Cloud Sync The Group SOA feature lets organizations move application access governance from on-premises to the cloud by transferring Active Directory group authority to Microsoft Entra ID using Connect Sync or Cloud Sync. With phased migration, admins can reduce AD dependencies gradually and minimize disruption. Microsoft Entra ID Governance manages access for both cloud and on-premises apps linked to security groups, and customers of either sync client can now use this feature. For more information, see:Group source of authority.",,"October 2025","General Availability"
"Jailbreak Detection in Authenticator App","Plan for change","Microsoft Authenticator App","Identity Security & Protection","Type:Plan for changeService category:Microsoft Authenticator AppProduct capability:Identity Security & Protection Starting February 2026, we'll introduceJailbreak/Root detection for Microsoft Entra credentials in the Authenticator app. This update strengthens security by preventing Microsoft Entra credentials from functioning on jail-broken or rooted devices. All existing credentials on such devices will be wiped to protect your organization. This capability is secure by default and requires no admin configuration or control. The change applies to both iOS and Android.This change won't apply to personal or third party accounts. Action required:Notify end users about this upcoming change. Authenticator will become unusable for Microsoft Entra accounts on jail-broken or rooted devices. For more information, see:About Microsoft Authenticator.",,"October 2025","Plan for Change"
"Global Secure Access B2B support with AVD and W365","New feature","B2B","Network Access","Type:New featureService category:B2BProduct capability:Network Access Guest access support for Global Secure Access (GSA) using W365 and AVD is now in public preview. This B2B support addresses secure access using GSA to external identities such as Guests, Partners, Contractors using Windows Cloud - Azure Virtual Desktop (AVD), and Windows 365 (W365). This feature empowers 3rd party users from a foreign tenant to securely access resources within a company’s tenant also known as the resource tenant. As a resource tenant administrator, you can enable Private Access, Internet Access, and Microsoft 365 traffic to these 3rd party users. For more information, see:Learn about Global Secure Access B2B Guest Access (Preview) - Global Secure Access | Microsoft Learn.",,"October 2025","Public Preview"
"Global Secure Access Internet profile support for iOS client","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access Kerberos SSO experience for users on mobile devices with Global Secure Access is now supported. On iOS, create and deploy profile for Single sign-on app extension, see:Single sign-on app extension. On Android. You need to install and configure a 3rd party SSO client.",,"October 2025","Public Preview"
"Convert Source of Authority of synced Active Directory users to the cloud","New feature","User Management","Microsoft Entra Connect and Microsoft Entra Cloud Sync","Type:New featureService category:User ManagementProduct capability:Microsoft Entra Connect and Microsoft Entra Cloud Sync The Source of Authority (SOA) at the object level allows administrators to convert specific users synced from Active Directory (AD) to Microsoft Entra ID into cloud-editable objects, which are no longer synced from AD and act as if originally created in the cloud. This feature supports a gradual migration process, decreasing dependencies on AD while aiming to minimize user and operational impact. Both Microsoft Entra Connect Sync and Cloud Sync recognize the SOA switch for these objects. The option to switch the SOA of synced users from AD to Microsoft Entra ID is currently available in Public Preview. For more information, see:Embrace cloud-first posture: Transfer user Source of Authority (SOA) to the cloud (Preview).",,"September 2025","Public Preview"
"Use SMS as a verification method in password reset flows in Microsoft Entra External ID","New feature","B2C - Consumer Identity Management","B2B/B2C","Type:New featureService category:B2C - Consumer Identity ManagementProduct capability:B2B/B2C We’re excited to announce thepublic preview of SMS for self-service password reset (SSPR) in Microsoft Entra External ID. This change is actively rolling out to all tenants in production by end of October. What’s New • SMS Authentication for Password Reset:End users can now verify their identity via SMS when using the“forgot password”or self-service password reset flow. Previously, only email one-time passcodes were supported. • Enhanced Security:If users have two or more registered methods for password reset, they'll now be required to verify their identity with at least two methods, adding an extra layer of protection. • Fraud Protection:With built-in integration to the Phone Reputation platform, telephony activity is processed in real time to identify risks. Each request is returned with an Allow, Block, or Challenge decision to help protect against telephony fraud. • Billing:SMS for password reset is a part of add-on feature with tiered pricing based on location/region. Charges per SMS include the fraud protection services. For more information, see:SMS pricing tiers by country/region.",,"September 2025","Public Preview"
"Microsoft Security Copilot Access Review Agent in Microsoft Entra","New feature","Access Reviews","Identity Governance","Type:New featureService category:Access ReviewsProduct capability:Identity Governance Say goodbye to time-consuming research and the uncertainty of rushed decisions. With the public preview of theMicrosoft Security Copilot Access Review Agent in Microsoft Entra, we’re bringing the power of AI directly into the heart of access governance. The agent works for your reviewers by automatically gathering insights and generating recommendations to help them make fast, accurate access decisions. Reviewers are guided through a natural, conversational flow right inside Microsoft Teams, so they can make the final call with confidence and clarity.",,"September 2025","Public Preview"
"Cross-tenant synchronization (cross-cloud)","New feature","Provisioning","Collaboration","Type:New featureService category:ProvisioningProduct capability:Collaboration Automate creating, updating, and deleting users across tenants across Microsoft clouds. The following combinations are supported: • Commercial -> US Gov • US Gov -> Commercial • Commercial -> China For more information, see:Configure cross-tenant synchronization",,"September 2025","General Availability"
"Dedicated new 1st party resource application to enable AD to Microsoft Entra ID sync using Microsoft Entra Connect Sync or Cloud Sync","Plan for change","Microsoft Entra Connect","Microsoft Entra Connect","Type:Plan for changeService category:Microsoft Entra ConnectProduct capability:Microsoft Entra Connect As part of ongoing security hardening, Microsoft has deployed a dedicated first-party application to enable the synchronization between Active Directory and Microsoft Entra ID. This new application will manifest as a first party service principal called the ""Microsoft Entra AD Synchronization Service"" (Application ID: 6bf85cfa-ac8a-4be5-b5de-425a0d0dc016) and will be visible in the Enterprise Applications experience within the Microsoft Entra admin center. This application is critical for the continued operation of on-premises to Microsoft Entra ID synchronization functionality through Microsoft Entra Connect. Microsoft Entra Connect now uses this first party application to synchronize between Active Directory and Microsoft Entra ID. Customers are required to upgrade to version2.5.79.0or later bySeptember 2026. We auto-upgrade customers where supported. For customers who wish to be auto-upgraded,ensure that you have auto-upgrade configured. The Microsoft Entra Connect Sync .msi installation file for this change is exclusively available on Microsoft Entra admin center underMicrosoft Entra Connect. Check ourversion history pagefor more details on available versions.",,"September 2025","General Availability"
"App management policies portal experience","New feature","Enterprise Apps","Directory","Type:New featureService category:Enterprise AppsProduct capability:Directory App management policies allow administrators to improve the security of their organization by setting rules on how applications in their organization can be configured. They can use them to block insecure configurations like password credentials. These policies have been available through the Microsoft Graph API, but can now also be configured using the Microsoft Entra admin center, under the Enterprise applications experience. Learn more abouthow to configure app management policies.",,"September 2025","Public Preview"
"Delegate approvals in My Access","New feature","Entitlement Management","Entitlement Management","Type:New featureService category:Entitlement ManagementProduct capability:Entitlement Management Users can now delegate their access package approvals in My Access. Approvers can assign another individual to respond to access package approval requests on their behalf. The original approvers can still respond to their approvals during the delegation period. For more information, see:Delegate approvals in My Access.",,"September 2025","Public Preview"
"Reprocess failed users and workflows in Lifecycle Workflows","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Lifecycle Workflows now supports reprocessing of your workflows to help organizations streamline the reprocessing of workflows when errors or failures are discovered. This feature includes the ability to reprocess previous runs of workflows including failed runs or just runs that you might want to process again. Customers can choose from the following options to fit their needs: • Select specific workflow run to be reprocessed • Select which users from the workflow run to be reprocessed. For example either failed users, or all users from the run For more information, see:Reprocess workflows",,"September 2025","Public Preview"
"Trigger workflows for inactive employees and guests in Lifecycle Workflows","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Lifecycle Workflows now enables customers to configure custom workflows to proactively manage dormant user accounts by automating identity lifecycle actions based on sign-in inactivity. After detecting inactivity, the workflow automatically executes predefined tasks—such as sending inactivity notifications, disabling accounts, or initiating offboarding—for users that exceed the inactivity threshold. Admins can configure the inactivity threshold and scope, ensuring dormant accounts are handled efficiently and consistently - reducing security exposure, reducing license waste, and enforcing governance policies at scale. For more information, see:Manage inactive users using Lifecycle Workflows (Preview).",,"September 2025","Public Preview"
"Microsoft Authentication Library to MSAL Recommendations API","Deprecated","Other","Developer Experience","Type:DeprecatedService category:OtherProduct capability:Developer Experience We’re retiring theADAL to MSAL Recommendations APIonDecember 15, 2025. To continue monitoring authentication library usage, customers can query sign-in logs manually viaMicrosoft Graph API. The relevant data is available in theauthenticationProcessingDetailsfield under the key""Azure AD App Authentication Library"". For guidance, see: • Recommendation: Migrate from Microsoft Authentication Library to MSAL • Analyze a sign-in with Microsoft Graph API No action is required to disable the API.",,"September 2025","Deprecated"
"Automatically capture sign-in fields for an app in Microsoft Entra admin center.","Deprecated","My Apps","Platform","Type:DeprecatedService category:My AppsProduct capability:Platform The “Automatically capture sign-in fields for an app” option in the Microsoft Entra admin center is retired. Existing apps already configured with this feature continues to work, but it will no longer be available for new configurations. Going forward, admins should use the “Capture sign-in fields for an app”. This requires the MyApps Secure Sign-In Extension, available for Microsoft Edge and Chrome. For more information, see:Capture sign-in fields for an app To learn about our passwordless strategy, see:Passwordless is here and at scale.",,"September 2025","Deprecated"
"Global Secure Access Internet profile support for iOS client","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access We're excited to announce the Internet Access support with iOS app. This feature protects access to internet and SaaS apps with an identity-based Secure Web Gateway (SWG), blocking threats, unsafe content, and malicious traffic from the iPhones and iPads. Global Secure Access client on mobile platforms requires no new agent installation/deployment for secure access to their resources, and uses existing MDE (Microsoft Defender for Endpoint) to route traffic through Microsoft SSE for both Microsoft 365, internet access and private access. For more information, see:Global Secure Access client for iOS (Preview).",,"September 2025","Public Preview"
"Basic HTML support in Lifecycle Workflow custom email notifications","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Now customers can further customize their Lifecycle workflows email notifications to personalize, or emphasize, specific information using basic HTML elements. Email notifications can now be customized to include sending links using HTML hyperlinks and basic text formatting like bold, italics, and underline. For more information, see:Customize emails sent from workflow tasks.",,"September 2025","Public Preview"
"Microsoft Entra Internet Access Custom Block Pages","New feature","Microsoft Entra Internet Access","Network Access","Type:New featureService category:Microsoft Entra Internet AccessProduct capability:Network Access When administrators configure policies that block users from accessing risky, NSFW, or unsanctioned sites or apps in Global Secure Access (GSA), users receive a clear HTML error message branded with Microsoft Entra Internet Access. Many administrators have expressed interest in customizing this experience to align with company style guides, include references to Terms of Use, add hyperlinks to IT workflows, and more.
Global Secure Access now supports customized block pages for Internet Access. Through the Microsoft Graph API, administrators can: • Configure the tenant-wide body text of the GSA block page. • Add hyperlinks using limited markdown to reference resources such as Terms of Use, ServiceNow/IT ticketing systems, or MyAccess for identity governance workflow integration. For more information, see:How to customize Global Secure Access block page (preview).",,"September 2025","Public Preview"
"Microsoft Entra ID Protection: Improved detection quality","New feature","Identity Protection","Identity Security & Protection","Type:New featureService category:Identity ProtectionProduct capability:Identity Security & Protection Improvements have been made to Microsoft Entra ID Protection detections to increase detection quality by improving precision and reducing detection noise. This quarter’s improvements apply to the following detections: • Anomalous token • Anonymous IP address • Impossible travel • Password spray • Unfamiliar sign-in properties Furthermore, changes have been made to better adjust the risk detections to passwordless scenarios.",,"August 2025","General Availability"
"Lifecycle Workflows task now supports setting Access Package assignments expiration","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Customers can now configure the remove all access packages task in Lifecycle Workflows to automatically expire access packages assignments after a specified number of days when employees leave the organization. For more information, see:Remove all access package assignments for user.",,"August 2025","Public Preview"
"New end user homepage in My Account","New feature","My Profile/Account","End User Experiences","Type:New featureService category:My Profile/AccountProduct capability:End User Experiences By the end of September 2025, the homepage athttps://myaccount.microsoft.comwill be updated to provide a more task-focused experience. Users will see pending actions like renewing expiring groups, approving access package requests, and setting up MFA directly on the homepage. Quick links to apps, groups, access packages, and sign-in details will be easier to find and use. This change is designed to streamline account management and help users stay on top of access and security tasks.",,"August 2025","Plan for Change"
"Requestors can view who their access package approvers are in My Access","New feature","Entitlement Management","Entitlement Management","Type:New featureService category:Entitlement ManagementProduct capability:Entitlement Management By the end of September 2025, requestors will be able to see the name and email address of approvers for their pending access package requests directly in the My Access portal. This feature improves transparency and helps streamline communication between requestors and approvers. At the tenant level, approver visibility is enabled by default for all members (non-guests) and can be controlled through the Entitlement Management settings in the Microsoft Entra Admin Center. At the access package level, admins and access package owners can configure the approver visibility and choose to override the tenant level setting under the advanced request settings in the access package policy.",,"August 2025","Plan for Change"
"Externally determine the approval requirements for an access package using custom extensions","New feature","Entitlement Management","Entitlement Management","Type:New featureService category:Entitlement ManagementProduct capability:Entitlement Management In Entitlement Management, approvers for access package assignment requests can either be directly assigned, or determined dynamically. Entitlement management natively supports dynamically determining approvers such as the requestors manager, their second-level manager, or a sponsor from a connected organization. With the introduction of this feature you can now use custom extensions for callouts to Azure Logic Apps and dynamically determine approval requirements for each access package assignment request based on your organizations specific business logic. The access package assignment request process will pause until your business logic hosted in Azure Logic Apps returns an approval stage which will then be leveraged in the subsequent approval process via the My Access portal. For more information, see:Externally determine the approval requirements for an access package using custom extensions (Preview).",,"August 2025","Public Preview"
"Support for eligible group memberships and ownerships in Entitlement Management access packages","New feature","Entitlement Management","Entitlement Management","Type:New featureService category:Entitlement ManagementProduct capability:Entitlement Management This integration between Entitlement Management and Privileged Identity Management (PIM) for Groups adds support for assigning eligible group memberships and ownerships via access packages. You will now be able to govern these just-in-time protected access assignments at scale by offering a self-service access request & extension process and can integrate them into your organization's role model. For more information, see:Assign eligible group membership and ownership in access packages via Privileged Identity Management for Groups (Preview)",,"August 2025","Public Preview"
"Platform SSO for macOS with Microsoft Entra ID","New feature","Authentications (Logins)","SSO","Type:New featureService category:Authentications (Logins)Product capability:SSO Today we’re announcing that Platform SSO for macOS is Generally Available with Microsoft Entra ID. Platform SSO is an enhancement to the Microsoft Enterprise SSO plug-in for Apple Devices that makes usage and management of Mac devices more seamless and secure than ever. At the start of public preview, Platform SSO will work with Microsoft Intune. Other Mobile Device Management (MDM) providers will be coming soon. Please contact your MDM provider for more information on support and availability. For more information, see: • macOS Platform Single Sign-on overview • Platform SSO configuration guide for macOS devices using Microsoft Intune • Configuring macOS Platform SSO (PSSO) to meet NIST SP 800-63 and EO 14028 Requirements • Understanding Primary Refresh Token (PRT)",,"August 2025","General Availability"
"Enabling native authentication JavaScript SDK for sign-in, sign-up and sign-out experiences in Microsoft Entra External ID.","New feature","B2C - Consumer Identity Management","Developer Experience","Type:New featureService category:B2C - Consumer Identity ManagementProduct capability:Developer Experience Build sign-in, sign-up, and sign-out experiences for single page applications in Microsoft Entra External ID with the new native authenticationJavaScript SDK.",,"August 2025","General Availability"
"QR + PIN Simple Auth method for FLW","New feature","Authentications (Logins)","User Authentication","Type:New featureService category:Authentications (Logins)Product capability:User Authentication QR code authentication in Microsoft Entra ID is now generally available, offering frontline workers a quick and secure way to sign in using a QR code and personal PIN. This authentication method can be provisioned through Microsoft Entra ID, My Staff, or Microsoft Graph APIs. Users can sign in on a mobile device (Android, iOS, iPadOS) by visitinghttps://login.microsoftonline.com, selecting Sign-in options > Sign in to an organization > Sign in with QR code, a web-based sign-in option available for all apps. Additionally, some applications, including Microsoft Teams, MHS, Bluefletch, and Jamf, support a dedicated “Sign in with a QR code” button on their login page for a seamless experience. For more information, see: • Authentication methods in Microsoft Entra ID - QR code authentication method • How to enable the QR code authentication method in Microsoft Entra ID",,"August 2025","General Availability"
"New Bulk Operations Feature","New feature","Directory Management","End User Experiences","Type:New featureService category:Directory ManagementProduct capability:End User Experiences The new Bulk Operations in Microsoft Entra ID offer an enhanced experience for managingGroups,Devices, andUser Export, enabling bulk actions such as create, update, and delete. This streamlined service improves performance, reduces timeouts, and removes scaling limitations especially for large tenants. Note:Currently, the new Bulk Operations service supportsGroups,Devices, andUser Exportonly. Support for additional entities, such asEnterprise Applications, is coming soon. For more information, see:Bulk operations in Microsoft Entra ID (Preview).",,"August 2025","Public Preview"
"Microsoft Entra External ID: Custom 3rd party email OTP provider","New feature","B2C - Consumer Identity Management","3rd Party Integration","Type:New featureService category:B2C - Consumer Identity ManagementProduct capability:3rd Party Integration Use a 3rd Party Email OTP Provider to customize the Email OTP notifications for sign-in and sign-up flows for Microsoft Entra External ID. A new ""Custom Email OTP Provider"" Custom Authentication Extension allows you to use Azure Communication Service (ACS) or a 3rd party provider, such as SendGrid, to maintain branding consistency through your end user authentication experiences. For more information, see:Configure a custom email provider for one time passcode send events.",,"July 2025","General Availability"
"Application Based Authentication on Microsoft Entra Connect Sync","New feature","Microsoft Entra Connect","Microsoft Entra Connect","Type:New featureService category:Microsoft Entra ConnectProduct capability:Microsoft Entra Connect The Application-Based Authentication (ABA) feature is now the default authentication method for Microsoft Entra Connect. It enables Microsoft Entra Connect to securely authenticate with Microsoft Entra ID without relying on a locally stored password. This feature uses a Microsoft Entra ID application identity and Oauth 2.0 client credential flow to authenticate with Microsoft Entra ID.  Microsoft Entra Connect automatically creates a single-tenant third-party application in the customer’s Entra ID tenant, registers a certificate as the application’s credential, and grants the required permissions for directory synchronization. The Microsoft Entra Connect Sync .msi installation file for this change is exclusively available on Microsoft Entra Admin Center underMicrosoft Entra Connect. Check ourversion history pagefor more details of the change.",,"July 2025","General Availability"
"Security Copilot in Microsoft Entra","New feature","Copilot","Identity Security & Protection","Type:New featureService category:CopilotProduct capability:Identity Security & Protection You can now interact with Copilot in Microsoft Entra to investigate threats, manage the identity lifecycle of employees and guests, and take action quickly across users, apps, and access. All of this works through natural language, without writing custom queries or scripts. For more information, see:Copilot in Microsoft Entra.",,"July 2025","General Availability"
"Conditional Access Optimization Agent in Microsoft Entra","New feature","Conditional Access","Identity Security & Protection","Type:New featureService category:Conditional AccessProduct capability:Identity Security & Protection Conditional Access Optimization Agent in Microsoft Entra monitors for new users or apps not covered by existing policies, identifies necessary updates to close security gaps, and recommends quick fixes for identity teams to apply with a single selection. For more information, see:Microsoft Entra Conditional Access optimization agent with Microsoft Security Copilot.",,"July 2025","General Availability"
"Conditional Access Agent Supports Disabling Agent Creation of Report-Only Policies","New feature","Conditional Access","Identity Security & Protection","Type:New featureService category:Conditional AccessProduct capability:Identity Security & Protection The Conditional Access Optimization Agent now supports a new setting that allows admins to configure if the agent can or cannot create report-only mode policies autonomously. If turned off, the agent will only create policies upon admin approval. For more information, see:Microsoft Entra Conditional Access Optimization Agent with Microsoft Security Copilot.",,"July 2025","General Availability"
"New Lifecycle Workflows task to revoke refresh tokens","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Customers can now configure a Lifecycle Workflows task to automatically revoke access tokens when employees move within, or leave, the organization. For more information, see:Revoke all refresh tokens for user.",,"July 2025","General Availability"
"Audit administrator events in Microsoft Entra Connect Sync","New feature","Provisioning","Microsoft Entra Connect","Type:New featureService category:ProvisioningProduct capability:Microsoft Entra Connect The Admin Audit Logging feature enables organizations to monitor changes made to Microsoft Entra Connect Sync configurations by Global Administrators or Hybrid Administrators. It captures actions performed through the Microsoft Entra Connect Sync Wizard, PowerShell, or Synchronization Rules Editor—including changes to synchronization rules, authentication settings (such as enabling or disabling features), and Federation settings. These events are logged in a dedicated Microsoft Entra Connect Sync audit log channel within the Windows Event Viewer, providing greater visibility into identity infrastructure changes. This feature supports troubleshooting, operational accountability, and regulatory compliance. The Microsoft Entra Connect Sync .msi installation file for this change is exclusively available on the Microsoft Entra Admin Center within theMicrosoft Entra Connect pane. Check ourversion history pagefor more details of the change.",,"July 2025","General Availability"
"Bicep templates for Microsoft Graph resources","New feature","MS Graph","Developer Experience","Type:New featureService category:MS GraphProduct capability:Developer Experience Bicep templates for Microsoft Graph resources allows you to author, deploy and manage a limited set of Microsoft Graph resources (mostly Microsoft Entra ID resources) using Bicep template files, alongside Azure resources. • Azure customers can use familiar tools to deploy Azure resources and the Microsoft Entra resources they depend on, such as applications and service principals, using Infrastructure-as-Code (IaC) and DevOps practices. • It also opens the door for existing Microsoft Entra customers to use Bicep templates and IaC practices to deploy and manage their tenant's Microsoft Entra resources. For more information, see:Bicep templates for Microsoft Graph.",,"July 2025","General Availability"
"Conditional Access What If API","New feature","Conditional Access","Access Control","Type:New featureService category:Conditional AccessProduct capability:Access Control The Conditional access What If API can be used to programmatically test the impact of policies on user and workload identity sign-ins.",,"July 2025","General Availability"
"Enterprise App SSO via pre-integrated gallery app or customer SAML apps","Changed feature","B2C - Consumer Identity Management","SSO","Type:Changed featureService category:B2C - Consumer Identity ManagementProduct capability:SSO Enterprise apps SSO & User Provisioning SAML-based Single Sign-On (SSO) and gallery apps with user provisioning flows are now Generally Available (GA). These features help streamline secure access and automate user lifecycle management across your enterprise applications. For more information, see: • Add an enterprise application • Register a SAML app in your external tenant • Supported features on external tenant",,"July 2025","General Availability"
"Convert Source of Authority of synced Active Directory groups to the cloud","New feature","Group Management","Microsoft Entra Connect and Microsoft Entra Cloud Sync","Type:New featureService category:Group ManagementProduct capability:Microsoft Entra Connect and Microsoft Entra Cloud Sync The Source of Authority (SOA) at the object level allows administrators to convert specific groups synced from Active Directory (AD) to Microsoft Entra ID into cloud-editable objects, which are no longer synced from AD and act as if originally created in the cloud. This feature supports a gradual migration process, decreasing dependencies on AD while aiming to minimize user and operational impact. Both Entra Connect Sync and Cloud Sync recognize the SOA switch for these objects. Additionally, administrators can govern Kerberos-based applications associated with AD security groups from the cloud using Microsoft Entra Governance by including these SOA-converted security groups for Group Provision to AD. The option to switch the SOA of synced groups from AD to Microsoft Entra ID is currently available in Public Preview. For more information, see:Embrace cloud-first posture: Convert Group Source of Authority to the cloud (Preview).",,"July 2025","Public Preview"
"Restricted Management Administrative Units","New feature","RBAC","AuthZ/Access Delegation","Type:New featureService category:RBACProduct capability:AuthZ/Access Delegation Restricted management administrative units enable you to easily restrict access to users, groups, or devices to the specific users or applications you specify. Tenant-level administrators (including Global Administrators) can't modify members of restricted management administrative units unless they're explicitly assigned a role scoped to the administrative unit. This makes it easy to lock down a set of sensitive groups or user accounts in your tenant without having to remove tenant-level role assignments. For more information, see:Restricted management administrative units in Microsoft Entra ID.",,"July 2025","General Availability"
"Update to Microsoft Entra Work or School Default Background Image","Changed feature","Authentications (Login)","User Authentication","Type:Changed featureService category:Authentications (Login)Product capability:User Authentication Starting September 29, 2025, we'll be making a change to the default background image of our Microsoft Entra work or school authentication screens. This new background was designed to help users focus on signing into their accounts, enhancing productivity, and minimizing distractions. With this, we aim to ensure visual consistency and a clean, simplified user experience throughout Microsoft’s authentication flows – aligning with Microsoft’s modernizedFluentdesign language. When our experiences look and feel consistent, it gives our users a familiar experience that they know and trust. What’s changing? This update is solely a visual user interface refresh with no changes to functionality. This change will only affect screens whereCompany Brandingdoesn't apply or where users see thedefault background image. We recommend updating any documentation that contains screenshots and notifying your help desk. If you have configured a custom background image in Company Branding for your tenant, there will be no change for your users. Additional Details: What do you need to do? No action is required. The update will be applied automatically starting September 29, 2025.",,"June 2025","General Availability"
"API-driven provisioning in US Gov cloud","New feature","Provisioning","Identity Governance","Type:New featureService category:ProvisioningProduct capability:Identity Governance API-driven provisioning is now generally available in US Gov cloud. With this capability, customers in US Gov cloud can now ingest identity data from any authoritative source into Microsoft Entra ID and on-premises Active Directory. For more information, see:Quickstart API-driven inbound provisioning with Graph Explorer.",,"June 2025","General Availability"
"Conditional Access Overview Monitoring Tab to Retire","Deprecated","Conditional Access","Identity Security & Protection","Type:DeprecatedService category:Conditional AccessProduct capability:Identity Security & Protection We're retiring the Conditional Access Overview Monitoring Tab in the Microsoft Entra Admin Center starting July 18 and completing by August 1. After this date, admins will no longer have access to this tab. We encourage customers to transition to Conditional Access Per-Policy Reporting and the Insights and Reporting Dashboard, both of which are more reliable, offer greater accuracy, and have received significantly better feedback from customers. Learn more aboutPer-Policy ReportingandInsights and Reporting.",,"June 2025","Deprecated"
"Manage Lifecycle Workflows with Microsoft Security Copilot in Microsoft Entra","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Now customers can manage and customize Lifecycle Workflows using natural language with Microsoft Security Copilot in Microsoft Entra. Our Lifecycle Workflows (LCW) Copilot solution provides step-by-step guidance to perform key workflow configuration and execution tasks using natural language. It allows customers to quickly get rich insights to help monitor and troubleshoot workflows for compliance. For more information, see:Manage employee lifecycle using Microsoft Security Copilot.",,"June 2025","General Availability"
"Provision custom security attributes from HR sources","New feature","Provisioning","Identity Governance","Type:New featureService category:ProvisioningProduct capability:Identity Governance With this feature, customers can automatically provision ""custom security attributes"" in Microsoft Entra ID from authoritative HR sources. Supported authoritative sources: Workday, SAP SuccessFactors and any HR system integrated using API-driven provisioning. For more information, refer to:Provision custom security attributes from HR sources.",,"June 2025","General Availability"
"Conditional Access audience reporting","New feature","Conditional Access","Access Control","Type:New featureService category:Conditional AccessProduct capability:Access Control Conditional Access audience reporting in the sign-in logs lets admins view all the resources evaluated by Conditional Access as part of a sign-in event. For more information, see:Audience reporting.",,"June 2025","General Availability"
"Cross-tenant synchronization (cross-cloud)","New feature","Provisioning","Identity Governance","Type:New featureService category:ProvisioningProduct capability:Identity Governance Automate creating, updating, and deleting users across tenants across Microsoft clouds. The following combinations are supported: • Commercial -> US Gov • US Gov -> Commercial • Commercial -> China For more information, see:Configure cross-tenant synchronization",,"June 2025","Public Preview"
"Conditional Access support for all Microsoft apps","New feature","Conditional Access","Identity Security & Protection","Type:New featureService category:Conditional AccessProduct capability:Identity Security & Protection Administrators can assign a Conditional Access policy to all cloud apps from Microsoft as long as the service principal appears in their tenant. For more information, see:Microsoft cloud applications.",,"June 2025","General Availability"
"Two-Way Forest Trusts for Microsoft Entra Domain Services","New feature","Microsoft Entra Domain Services","Microsoft Entra Domain Services","Type:New featureService category:Microsoft Entra Domain ServicesProduct capability:Microsoft Entra Domain Services Two-Way Forest Trusts for Microsoft Entra Domain Services are now generally available. This capability allows organizations to establish trust relationships between Microsoft Entra Domain Services domains and on-premises Active Directory (AD) domains. Forest trusts can now be configured in three directions: one-way outbound (as before), one-way inbound, and bi-directional, depending on organizational needs. Forest trusts can be used to enable resource access across trusted domains in hybrid environments. This capability offers more control and flexibility over how to manage your hybrid identity environment with Microsoft Entra Domain Services. Trusts require an Enterprise or Premium SKU license. For more information, see:How trust relationships work for forests in Active Directory.",,"June 2025","General Availability"
"Certificate Authority (CA) Trust Store","New feature","Authentications (Login)","User Authentication","Type:New featureService category:Authentications (Login)Product capability:User Authentication The new PKI-based CA Trust Store replaces the legacy flat-list model with a more robust structure and no limitations on the size or the number of CAs. It supports bulk PKI uploads, CRL updates, issuer hints, and prioritization of the new store over the legacy one. Sign-in logs now indicate which store was used, helping admins phase out legacy configurations. For more information, see:How to configure Microsoft Entra certificate-based authentication.",,"June 2025","General Availability"
"Certificate Revocation List (CRL) Fail Safe","New feature","Authentications (Login)","User Authentication","Type:New featureService category:Authentications (Login)Product capability:User Authentication CRL Fail Safe ensures that CBA auth fails if the end user certificate issuing CA does not have a Certificate Revocation List (CRL) configured. This closes a critical security gap where certificates could previously be accepted without revocation validation. Admins can enable this at the tenant level and configure exceptions for specific CAs as needed. For more information, see:Understanding CRL validation.",,"June 2025","General Availability"
"Certificate Authority (CA) Scoping","New feature","Authentications (Login)","User Authentication","Type:New featureService category:Authentications (Login)Product capability:User Authentication CA Scoping allows admins to bind specific CAs to defined user groups. This ensures that users can only authenticate using certificates from trusted sources scoped to them. This enhances compliance, and reduces exposure to mis-issued or rogue certificates. For more information, see:Certificate Authority (CA) Scoping (Preview).",,"June 2025","Public Preview"
